"SET_PREFIX","SET_POSTFIX","SET_NAME","SET_YEAR","SET_THEME","NUMBER_OF_PARTS"
"41171","1","EMILY JONES & THE BABY WIND DRAGON",2016,"600",80
"41172","1","THE WATER DRAGON ADVENTURE",2016,"600",212
"41173","1","ELVENDALE SCHOOL OF DRAGONS",2016,"600",230
"41174","1","THE STARLIGHT INN",2016,"600",347
"4117463","1","CYBER SAUCER TRU 50 YEARS FOREVER FUN BUNDLE",1997,"144",2
"41175","1","FIRE DRAGON'S LAVA CAVE",2016,"600",441
"41176","1","THE SECRET MARKET PLACE",2016,"600",700
"41177","1","THE PRECIOUS CRYSTAL MINE",2016,"600",272
"41178","1","THE DRAGON SANCTUARY",2016,"600",585
"41179","1","QUEEN DRAGON’S RESCUE",2016,"600",832
"41180","1","RAGANA’S MAGIC SHADOW CASTLE",2016,"600",1013
"4118","1","BUILDINGS, MANSIONS AND SHOPS",2001,"37",364
"41181","1","NAIDA'S GONDOLA & THE GOBLIN THIEF",2017,"600",67
"41182","1","THE CAPTURE OF SOPHIE JONES",2017,"600",226
"41183","1","THE GOBLIN KING'S EVIL DRAGON",2017,"600",338
"41184","1","AIRA'S AIRSHIP & THE AMULET CHASE",2017,"600",343
"41185","1","MAGIC RESCUE FROM THE GOBLIN VILLAGE",2017,"600",637
"4119","1","REGULAR & TRANSPARENT BRICKS BUCKET",2001,"37",234
"4120","1","FUN AND COOL TRANSPORTATION",2001,"37",608
"4121","1","ALL KINDS OF ANIMALS / LAP TABLE",2001,"37",174
"4122","1","BASIC BUILDING SET",2000,"470",201
"41230","1","BATGIRL BATJET CHASE",2017,"482",206
"41231","1","HARLEY QUINN TO THE RESCUE",2016,"482",217
"41232","1","SUPER HERO HIGH SCHOOL",2017,"482",711
"41233","1","LASHINA"" TANK",2017,"482",142
"41234","1","BUMBLEBEE HELICOPTER",2017,"482",141
"41235","1","WONDER WOMAN DORM",2017,"482",186
"4124","1","ADVENT CALENDAR 2001, CREATOR",2001,"214",24
"4124","10","ADVENT CALENDAR 2001, CREATOR (DAY  9) SPACE BUGGY",2001,"217",18
"4124","11","ADVENT CALENDAR 2001, CREATOR (DAY 10) DINOSAUR",2001,"217",8
"4124","12","ADVENT CALENDAR 2001, CREATOR (DAY 11) SPEEDBOAT",2001,"217",10
"4124","13","ADVENT CALENDAR 2001, CREATOR (DAY 12) REINDEER",2001,"217",10
"4124","14","ADVENT CALENDAR 2001, CREATOR (DAY 13) SNOWMAN",2001,"217",15
"4124","15","ADVENT CALENDAR 2001, CREATOR (DAY 14) JET SKI",2001,"217",11
"4124","16","ADVENT CALENDAR 2001, CREATOR (DAY 15) DOG",2001,"217",10
"4124","17","ADVENT CALENDAR 2001, CREATOR (DAY 16) POLICE BOAT",2001,"217",9
"4124","18","ADVENT CALENDAR 2001, CREATOR (DAY 17) WHALE",2001,"217",9
"4124","19","ADVENT CALENDAR 2001, CREATOR (DAY 18) SPACE SHUTTLE",2001,"217",10
"4124","2","ADVENT CALENDAR 2001, CREATOR (DAY  1) CAT",2001,"217",10
"4124","20","ADVENT CALENDAR 2001, CREATOR (DAY 19) PARROT",2001,"217",9
"4124","21","ADVENT CALENDAR 2001, CREATOR (DAY 20) STEAMSHIP",2001,"217",10
"4124","22","ADVENT CALENDAR 2001, CREATOR (DAY 21) CHURCH",2001,"217",11
"4124","23","ADVENT CALENDAR 2001, CREATOR (DAY 22) HELICOPTER",2001,"217",11
"4124","24","ADVENT CALENDAR 2001, CREATOR (DAY 23) CHRISTMAS TREE",2001,"217",10
"4124","25","ADVENT CALENDAR 2001, CREATOR (DAY 24) PRESENT",2001,"217",8
"4124","3","ADVENT CALENDAR 2001, CREATOR (DAY  2) MAX",2001,"217",1
"4124","4","ADVENT CALENDAR 2001, CREATOR (DAY  3) FIREPLACE",2001,"217",11
"4124","5","ADVENT CALENDAR 2001, CREATOR (DAY  4) SANTA",2001,"217",10
"4124","6","ADVENT CALENDAR 2001, CREATOR (DAY  5) AMBULANCE",2001,"217",15
"4124","7","ADVENT CALENDAR 2001, CREATOR (DAY  6) PENGUIN",2001,"217",10
"4124","8","ADVENT CALENDAR 2001, CREATOR (DAY  7) TINA",2001,"217",1
"4124","9","ADVENT CALENDAR 2001, CREATOR (DAY  8) FROG WITH HAT",2001,"217",11
"4128","1","XL FREESTYLE BUCKET",1997,"399",657
"41300","1","PUPPY CHAMPIONSHIP",2017,"494",185
"4130","1","FREESTYLE BUILDING SET",1995,"399",37
"41301","1","PUPPY PARADE",2017,"494",145
"41302","1","PUPPY PAMPERING",2017,"496",45
"41303","1","PUPPY PLAYGROUND",2017,"496",62
"41304","1","PUPPY TREATS & TRICKS",2017,"496",45
"41305","1","EMMA'S PHOTO STUDIO",2017,"494",95
"41306","1","MIA'S BEACH SCOOTER",2017,"494",79
"41307","1","OLIVIA'S CREATIVE LAB",2017,"494",99
"41308","1","STEPHANIE'S FRIENDSHIP CAKES",2017,"494",94
"41309","1","ANDREA'S MUSICAL DUET",2017,"494",86
"41310","1","HEARTLAKE GIFT DELIVERY",2017,"494",185
"4131","1","FREESTYLE BUILDING SET",1995,"399",71
"41311","1","HEARTLAKE PIZZERIA",2017,"494",287
"41312","1","HEARTLAKE SPORTS CENTER",2017,"494",327
"41313","1","HEARTLAKE SUMMER POOL",2017,"494",588
"41314","1","STEPHANIE'S HOUSE",2017,"494",623
"4132","1","FREESTYLE BUILDING SET",1995,"399",122
"4133","1","SMALL FREESTYLE BUCKET",1995,"399",135
"4134","1","LARGE FREESTYLE BUCKET",1995,"399",252
"4135","1","FREESTYLE GARDEN FRIENDS",1996,"399",121
"4137","1","SMALL FREESTYLE CLEARPACK",1997,"399",127
"4139","1","FREESTYLE BUCKET",1997,"399",249
"4142","1","FREESTYLE BUILDING SET",1995,"399",98
"414","3","WINDOWS PARTS PACK, RED (THE BUILDING TOY)",1966,"371",10
"4143","1","FREESTYLE BUILDING SET",1995,"399",196
"414","4","WINDOWS PARTS PACK, WHITE (THE BUILDING TOY)",1966,"371",10
"4144","1","FREESTYLE BRICK VAC BUS",1995,"399",142
"414","5","WINDOWS PARTS PACK, RED (SYSTEM)",1966,"371",10
"4145","1","FREESTYLE PLAYCASE",1995,"399",254
"414","6","WINDOWS PARTS PACK, WHITE (SYSTEM)",1966,"371",10
"4146","1","EXTRA LARGE FREESTYLE BUCKET",1995,"399",410
"4147","1","FREESTYLE ELEFANT VILLA",1996,"399",191
"41492","1","IRON MAN & CPT. AMERICA",2016,"610",174
"41493","1","BLACK PANTHER & DR. STRANGE",2016,"610",167
"41500","1","FLAIN",2014,"581",58
"4150","1","FREESTYLE BUILDING SET",1995,"399",91
"41501","1","VULK",2014,"581",69
"41502","1","ZORCH",2014,"581",45
"41503","1","KRADER",2014,"581",66
"41504","1","SIESMO",2014,"581",50
"41505","1","SHUFF",2014,"581",51
"41506","1","TESLO",2014,"581",54
"41507","1","ZAPTOR",2014,"581",61
"41508","1","VOLECTRO",2014,"581",70
"41509","1","SLUMBO",2014,"582",61
"415","1","5 SIXTEENS AND 4 TWENTIES (SYSTEM)",1966,"371",27
"41510","1","LUNK",2014,"582",51
"4151","1","GIRL'S FREESTYLE SET",1995,"399",274
"41511","1","FLURR",2014,"582",46
"41512","1","CHOMLY",2014,"582",68
"4151270","1","STAR WARS CO-PACK OF 7121 AND 7111",2000,"166",2
"41513","1","GOBBA",2014,"582",57
"41514","1","JAWG",2014,"582",61
"41515","1","KRAW",2014,"582",70
"41516","1","TENTRO",2014,"582",69
"41517","1","BALK",2014,"582",68
"41518","1","GLOMP",2014,"583",64
"41519","1","GLURT",2014,"583",62
"41520","1","TORTS",2014,"583",48
"4152","1","LARGE FREESTYLE BUCKET",1995,"399",409
"41521","1","FOOTI",2014,"583",72
"41522","1","SCORPI",2014,"583",70
"41523","1","HOOGI",2014,"583",69
"41524","1","MESMO",2014,"583",64
"41525","1","MAGNIFO",2014,"583",61
"41526","1","WIZWUZ",2014,"583",70
"41527","1","ROKIT",2015,"584",66
"41528","1","NIKSPUT",2015,"584",62
"41529","1","NURP-NAUT",2015,"584",52
"41530","1","MELTUS",2015,"584",66
"4153","1","LARGE FREESTYLE PLAYCASE",1995,"399",698
"41531","1","FLAMZER",2015,"584",60
"41532","1","BURNARD",2015,"584",59
"41533","1","GLOBERT",2015,"584",45
"41534","1","VAMPOS",2015,"584",59
"41535","1","BOOGLY",2015,"584",52
"41536","1","GOX",2015,"585",62
"41537","1","JINKY",2015,"585",59
"41538","1","KAMZO",2015,"585",58
"41539","1","KROG",2015,"585",60
"41540","1","CHILBO",2015,"585",65
"41541","1","SNOOF",2015,"585",54
"41542","1","SPUGG",2015,"585",51
"41543","1","TURG",2015,"585",56
"41544","1","TUNGSTER",2015,"585",60
"41545","1","KRAMM",2015,"586",68
"41546","1","FORX",2015,"586",65
"41547","1","WUZZO",2015,"586",74
"41548","1","DRIBBAL",2015,"586",52
"41549","1","GURGGLE",2015,"586",66
"41550","1","SLUSHO",2015,"586",53
"41551","1","SNAX",2015,"586",51
"41552","1","BERP",2015,"586",68
"41553","1","VAKA-WAKA",2015,"586",69
"41554","1","KUFFS",2016,"587",63
"41555","1","BUSTO",2016,"587",69
"41556","1","TIKETZ",2016,"587",62
"41557","1","CAMILLOT",2016,"587",64
"41558","1","MIXADEL",2016,"587",63
"41559","1","PALADUM",2016,"587",64
"41560","1","JAMZY",2016,"587",70
"41561","1","TAPSY",2016,"587",57
"41562","1","TRUMPSY",2016,"587",54
"41563","1","SPLASHO",2016,"588",67
"41564","1","AQUAD",2016,"588",70
"41565","1","HYDRO",2016,"588",70
"41566","1","SHARX",2016,"588",55
"41567","1","SKULZY",2016,"588",66
"41568","1","LEWT",2016,"588",62
"41569","1","SURGEO",2016,"588",63
"41570","1","SKRUBZ",2016,"588",68
"4157","1","FREESTYLE TRIAL SIZE",1997,"399",36
"41571","1","TUTH",2016,"588",67
"41572","1","GOBBOL",2016,"589",62
"41573","1","SWEEPZ",2016,"589",61
"41574","1","COMPAX",2016,"589",66
"41575","1","COBRAX",2016,"589",64
"41576","1","SPINZA",2016,"589",60
"41577","1","MYSTO",2016,"589",64
"41578","1","SCREENO",2016,"589",73
"41579","1","CAMSTA",2016,"589",62
"41580","1","MYKE",2016,"589",63
"4158","1","SMALL FREESTYLE BOX",1997,"399",132
"41585","1","BATMAN",2017,"610",91
"41586","1","BATGIRL",2017,"610",99
"41587","1","ROBIN",2017,"610",101
"41588","1","THE JOKER",2017,"610",151
"41589","1","CAPTAIN AMERICA",2017,"610",79
"41590","1","IRON MAN",2017,"610",96
"41591","1","BLACK WIDOW",2017,"610",143
"41592","1","THE HULK",2017,"610",93
"41593","1","CAPTAIN JACK SPARROW",2017,"610",109
"41594","1","CAPTAIN ARMANDO SALAZAR",2017,"610",118
"41595","1","BELLE",2017,"610",139
"41596","1","BEAST",2017,"610",116
"416","1","4 SIXTEENS 2 TWENTIES (THE BUILDING TOY)",1966,"371",18
"4161","1","GIRL'S FREESTYLE SUITCASE",1995,"399",293
"4162","1","FREESTYLE MULTIBOX",1995,"399",600
"4163","1","ELECTRIC FREESTYLE SET",1995,"399",350
"4164","1","MICKEY'S FIRE ENGINE",2000,"388",27
"4165","1","MINNIE'S BIRTHDAY PARTY",2000,"388",85
"4166","1","MICKEY'S CAR GARAGE",2000,"388",90
"4167","1","MICKEY'S MANSION",2000,"388",123
"4169306a","1","CHRISTMAS TREE ORNAMENT",2005,"227",46
"4169306b","1","SNOWMAN ORNAMENT",2005,"227",36
"4169306c","1","SANTA CLAUS ORNAMENT",2005,"227",36
"4171","1","SPOT & FRIENDS",2001,"37",53
"4172","1","TINA'S HOUSE",2001,"37",44
"417","3","CORNERBRICKS (THE BUILDING TOY)",1966,"371",10
"4173","1","MAX'S PITSTOP",2001,"37",59
"417","4","CORNERBRICKS (SYSTEM)",1966,"371",20
"4174","1","MAX GOES FLYING",2001,"37",173
"4175","1","ADVENTURES WITH MAX & TINA",2001,"37",219
"4176","1","THE RACE OF THE YEAR",2001,"37",326
"4177","1","BUILDING STORIES W/NANA BIRD",2001,"37",382
"4178","1","MICKEY'S FISHING ADVENTURE",2000,"388",107
"4179","1","LARGE CREATOR BOX",2002,"37",500
"4180878",,"BIONICLE POSTER 2002, BOHROK FRONT KRANA BACK, 420 X 295 MM",2002,"501",0
"4181","1","ISLA DE MUERTA",2011,"263",160
"418","2","2 X 4 BRICKS (THE BUILDING TOY)",1966,"371",65
"4182","1","THE CANNIBAL ESCAPE",2011,"263",279
"418","3","2 X 4 BRICKS (SYSTEM)",1966,"371",126
"4183","1","THE MILL",2011,"263",366
"4184","1","BLACK PEARL",2011,"263",808
"4184912","1","BLACK BUS WITH BALL (MANNSCHAFTSBUS + BALL)",2002,"462",2
"4186868","1","LARGE TRAIN ENGINE WITH TENDER BLACK (MOTORIZABLE, SETS 4534, 4535)",2002,"238",203
"4186870","1","OPEN FREIGHT WAGON (WHITE BOX)",2002,"238",121
"4186872","1","PASSENGER WAGON GREEN (WHITE BOX)",2002,"238",194
"4186874","1","CABOOSE (WHITE BOX)",2002,"238",170
"4186875","1","9V PLATFORM AND MINI-FIGURES",2002,"238",47
"4186876","1","PASSENGER WAGON BLUE (WHITE BOX)",2002,"238",192
"4189224","1","DRAGON SCULPTURE, OLLIE, THE LITTLE DRAGON FROM CASTLELAND (LEGOLAND BILLUND)",2002,"425",47
"4191","1","THE CAPTAIN’S CABIN",2011,"263",94
"419","2","2 X 3 BRICKS (THE BUILDING TOY)",1966,"371",75
"4192","1","FOUNTAIN OF YOUTH",2011,"263",127
"419","3","2 X 3 BRICKS (SYSTEM)",1966,"371",150
"4193","1","THE LONDON ESCAPE",2011,"263",466
"4194","1","WHITECAP BAY",2011,"263",748
"4195","1","QUEEN ANNE’S REVENGE",2011,"263",1094
"4195641","1","STAR WARS CO-PACK OF 7142 AND 7152",2002,"169",2
"41999","1","4 X 4 CRAWLER EXCLUSIVE EDITION ""BOSS CRAWLER"" [CO-CREATION MODEL]",2013,"1",1583
"42000","1","GRAND PRIX RACER",2013,"12",1139
"4200","1","MINING 4 X 4",2012,"56",101
"42001","1","MINI OFF-ROADER",2013,"1",100
"42002","1","HOVERCRAFT",2013,"1",169
"42004","1","MINI BACKHOE LOADER",2013,"7",246
"42005","1","MONSTER TRUCK",2013,"1",328
"42006","1","EXCAVATOR",2013,"1",719
"42007","1","MOTO CROSS BIKE",2013,"1",253
"42008","1","SERVICE TRUCK",2013,"1",1275
"42009","1","MOBILE CRANE MK II",2013,"7",2606
"420","1","POLICE CAR",1973,"421",19
"42010","1","OFF-ROAD RACER",2013,"1",159
"4201","1","LOADER AND TIPPER",2012,"56",138
"42011","1","RACE CAR",2013,"1",157
"42020","1","TWIN ROTOR HELICOPTER",2014,"1",145
"4202","1","MINING TRUCK",2012,"52",269
"42021","1","SNOWMOBILE",2014,"1",185
"42022","1","HOT ROD",2014,"1",413
"42023","1","CONSTRUCTION CREW",2014,"1",833
"42024","1","CONTAINER TRUCK",2014,"1",947
"42025","1","CARGO PLANE",2014,"6",1295
"42026","1","BLACK CHAMPION RACER",2014,"1",136
"42026","2","BLACK CHAMPION RACER",2014,"1",137
"42027","1","DESERT RACER",2014,"1",148
"42028","1","BULLDOZER",2014,"7",614
"42029","1","CUSTOMIZED PICK UP TRUCK",2014,"1",1062
"420","3","2 X 2 BRICKS (THE BUILDING TOY)",1966,"371",100
"42030","1","REMOTE-CONTROLLED VOLVO L350F WHEEL LOADER",2014,"7",1634
"4203","1","EXCAVATOR TRANSPORTER",2012,"56",304
"42031","1","CHERRY PICKER",2015,"15",155
"42032","1","COMPACT TRACKED LOADER",2015,"7",251
"42033","1","RECORD BREAKER",2015,"12",124
"42034","1","QUAD BIKE",2015,"11",148
"42035","1","MINING TRUCK",2015,"7",361
"42036","1","STREET MOTORCYCLE",2015,"13",374
"42037","1","FORMULA OFF-ROADER",2015,"11",493
"42038","1","ARCTIC TRUCK",2015,"11",912
"42039","1","24 HOURS RACE CAR",2015,"12",1218
"420","4","2 X 2 BRICKS (SYSTEM)",1966,"371",198
"42040","1","FIRE PLANE",2015,"9",577
"4204","1","THE MINE",2012,"56",751
"42041","1","RACE TRUCK",2015,"12",608
"42042","1","CRAWLER CRANE",2015,"1",1399
"42043","1","MERCEDES BENZ AROCS 3245",2015,"1",2792
"42044","1","DISPLAY TEAM JET",2016,"1",113
"42045","1","HYDROPLANE RACER",2016,"1",179
"42046","1","GETAWAY RACER",2016,"1",170
"42047","1","POLICE INTERCEPTOR",2016,"1",185
"42048","1","RACE KART",2016,"1",344
"42049","1","MINE LOADER",2016,"1",475
"42050","1","DRAG RACER",2016,"1",646
"4205","1","OFF ROAD COMMAND CENTER",2012,"61",388
"42052","1","HEAVY LIFT HELICOPTER",2016,"1",1041
"42053","1","VOLVO EW 160E",2016,"1",1166
"42054","1","CLAAS XERION 5000 TRAC VC",2016,"1",1975
"42055","1","BUCKET WHEEL EXCAVATOR",2016,"7",3928
"42056","1","PORSCHE 911 GT3 RS",2016,"1",2704
"42057","1","ULTRALIGHT HELICOPTER",2017,"1",199
"42058","1","STUNT BIKE",2017,"1",140
"42059","1","STUNT TRUCK",2017,"1",141
"42060","1","ROADWORK CREW",2017,"1",364
"4206","1","9V TRAIN SWITCHING TRACK COLLECTION",2006,"244",28
"42061","1","TELEHANDLER",2017,"1",259
"4206","2","RECYCLING TRUCK",2012,"63",296
"42062","1","CONTAINER YARD",2017,"1",630
"42063","1","BMW R 1200 GS ADVENTURE",2017,"1",593
"42063","40","TECHNIC 40 YEAR ANNIVERSARY MODEL (42057 + 42061 + 42063)",2017,"1",568
"42064","1","OCEAN EXPLORER",2017,"1",1326
"42065","1","RC TRACKED RACER",2017,"1",369
"42066","1","AIR RACE JET",2017,"1",1150
"4207","1","CITY GARAGE",2012,"63",932
"4207901","1","STAR WARS MINI BONUS PACK",2003,"159",4
"4208","1","4 × 4 FIRE TRUCK",2012,"58",242
"4209","1","FIRE PLANE",2012,"58",507
"42","1","MOTOR CASE / LOWER PART",1977,"443",1
"4210","1","COAST GUARD PLATFORM",2008,"55",450
"421","1","1 X 2 BRICKS",1966,"371",176
"4211","1","STARTER SET 100",1998,"470",53
"421","2","2 EIGHTS 2 SIXES 2 FOURS 8 TWOS 6 ONES (THE BUILDING TOY)",1966,"371",20
"4212","1","STARTER SET 200",1998,"470",95
"4212838","1","LEGO STORES EASTER CHICK FOR 2004",2004,"229",62
"4212847","1","LEGO STORES EASTER CHICK IN EGG FOR 2004",2004,"229",99
"4212852","1","LEGO STORES EASTER OPENING EGG FOR 2004 - BLUE",2004,"229",178
"4213","1","SUPER SET 200",1998,"470",519
"4214","1","MEDIUM BUCKET",1998,"470",264
"4215","1","STARTER SET 300",1998,"470",264
"4216","1","SUPER SET 100",1998,"470",509
"4217","1","PLAYDESK AND BRICKS",1998,"470",215
"4219","1","BRICK PACK 100",1998,"470",288
"4220","1","LARGE BOX OF BRICKS",1998,"470",428
"422","1","1 X 1, 1 X 2, 1 X 4, 1 X 6, 1 X 8 BRICKS",1966,"371",28
"4221","1","CHALLENGER SET 100",1998,"470",65
"4222","1","CHALLENGER SET 300",1998,"470",363
"4223","1","CHALLENGER SET 400 WITH MOTOR",1999,"470",548
"4224","1","MEDIUM BUCKET",1998,"470",363
"4225","1","CHALLENGER SET 350",1998,"470",244
"4228383","1","VAKAMA PROMOTIONAL SET (WOOLWORTH'S EXCLUSIVE)",2003,"356",3
"4229","1","BRICK PACK 300",1998,"470",812
"4232","1","FREESTYLE SET",1998,"399",30
"423","3","CURVED AND ROUND BRICKS (THE BUILDING TOY)",1966,"371",84
"4239","1","FREESTYLE SET",1998,"399",38
"4243532","1","STUNT PACK",2004,"119",35
"4243534","1","RACERS HAZARD KIT",2004,"119",35
"4244","1","LARGE BULK BUCKET",1998,"399",420
"425","1","FORK LIFT",1976,"416",21
"4254","1","FREESTYLE PLAYDESK",1998,"399",309
"4258","1","BIG BOX PLAY SCAPE",1998,"399",1009
"426","1","7 NAMED BEAMS (THE BUILDING TOY)",1966,"371",7
"4267","1","LARGE BUCKET",1998,"399",468
"427","1","8 PLATES 2 X 8 (THE BUILDING TOY)",1966,"371",8
"4271","1","FREESTYLE BOX",1998,"399",180
"4274","1","FREESTYLE PLAYDESK",1998,"399",508
"4277206","1","LETTERS AND KEYRING",2005,"500",72
"4277678","1","LEGO GAMES KNIGHTS KINGDOM CHESS",2005,"502",184
"4278","1","BLUE TUB",2003,"37",1000
"4279","1","CREATOR STRATA RED {RED TUB}",2003,"37",1002
"4280","1","FREESTYLE TRIAL SIZE",1998,"399",39
"428","1","5 PLATES 4 X 8 (THE BUILDING TOY)",1966,"371",5
"4281","1","CLASSIC TRIAL SIZE",1999,"470",25
"4282","1","CLASSIC TRIAL SIZE",1999,"470",37
"4283","1","CLASSIC TRIAL BOX",2000,"470",53
"4284","1","CLASSIC TRIAL SIZE",1999,"470",123
"4285","1","SMALL BUCKET",1999,"470",256
"4285968","1","TRANSFORMATION KIT DIRT CRUSHER (RED)",2005,"119",47
"4285969","1","TRANSFORMATION KIT DIRT CRUSHER (BLUE)",2005,"119",47
"4285970","1","TRANSFORMATION KIT DIRT CRUSHER (GREEN)",2005,"119",47
"4286013","1","BIG WHEELS PACK DIRT CRUSHER (RED)",2005,"119",10
"4286024","1","BIG WHEELS PACK DIRT CRUSHER (BLUE)",2005,"119",10
"4286025","1","BIG WHEELS PACK DIRT CRUSHER (GREEN)",2005,"119",10
"4286784","1","DIRT CRUSHER GEARBOX WITH LIGHT",2005,"119",6
"4287082","1","ANTENNA PACK FOR DIRT CRUSHER",2005,"119",10
"4287744","1","CITY VALUE PACK - 7241 7246 - SHRINKWRAPPED TARGET COUNTRY IN AUSTRALIA",2005,"52",0
"4288","1","LARGE BUCKET",1999,"470",404
"429","1","4 PLATES 6 X 8 (THE BUILDING TOY)",1966,"371",4
"4291","1","CLASSIC BUILD & STORE TUB",1999,"470",770
"4293","1","CLASSIC VALUE PACK",1999,"470",817
"4294","1","HELICOPTER ANA PROMOTIONAL SET",2002,"466",16
"4297","1","LIGHTNING STREAK",2002,"113",19
"4298","1","BLUE POWER",2002,"113",22
"4299","1","NESQUIK QUICKY RACER",2002,"113",17
"4","3","BASIC SET",1973,"469",234
"4300","1","GREEN RACER",2003,"113",21
"430","1","BIPLANE",1975,"412",18
"4301","1","BLUE RACER",2003,"113",24
"430","2","SIX TREES AND BUSHES (THE BUILDING TOY)",1966,"371",6
"4304","1","CHOPPER COP",1998,"100",24
"4305","1","XCYBER",1997,"144",36
"4306","1","RINGS",1980,"404",15
"4308","1","RACING CAR",2004,"113",28
"4309","1","BLUE RACER",2004,"113",31
"4310","1","ORANGE RACER",2004,"113",24
"431","1","GAS STATION (THE BUILDING TOY)",1966,"371",13
"432","1","ROAD SIGNS (THE BUILDING TOY)",1966,"371",8
"433","1","6 STREET LAMPS WITH CURVED TOP (THE BUILDING TOY)",1966,"371",6
"4335","1","BLACK ROBOTS POD",2004,"478",50
"4336","1","PICTURE FRAME AND MIRROR",1980,"279",48
"4337","1","DRAGON POD",2005,"478",52
"4338","1","MONSTER POD",2005,"478",49
"4339","1","AQUA POD",2005,"478",56
"434","1","50 LETTERED BRICKS (THE BUILDING TOY)",1966,"371",50
"4346","1","ROBO POD",2004,"478",50
"4346","2","ROBO POD (POLYBAG)",2004,"478",47
"4346","3","ROBO POD (TOY FAIR NUERNBERG PROMOTION)",2004,"478",50
"4347","1","AUTO POD",2004,"478",40
"4347","2","AUTO POD (POLYBAG)",2004,"478",37
"4347","3","AUTO POD (TOY FAIR NUERNBERG PROMOTION)",2004,"478",40
"4348","1","AERO POD",2004,"478",36
"4348","2","AERO POD (POLYBAG)",2004,"478",33
"4348","3","AERO POD (TOY FAIR NUERNBERG PROMOTION)",2004,"478",36
"4349","1","WILD POD",2004,"478",44
"4349","2","WILD POD (POLYBAG)",2004,"478",41
"4349","3","WILD POD (TOY FAIR NUERNBERG PROMOTION)",2004,"478",44
"435","1","TIPPER TRUCK",1976,"416",23
"435","2","GARAGE PLATE AND DOOR (THE BUILDING TOY)",1966,"371",3
"437","1","50 NUMBERED BRICKS (THE BUILDING TOY)",1966,"371",50
"4","4","LARGE HOUSE SET",1970,"433",218
"44000","1","FURNO XL",2013,"401",103
"4400","1","CREATIONS AND BRICKS {RED TUB}",2003,"37",705
"44001","1","PYROX",2013,"403",50
"44002","1","ROCKA",2013,"401",43
"44003","1","SCAROX",2013,"403",46
"44004","1","BULK",2013,"401",50
"44005","1","BRUIZER",2013,"403",62
"44006","1","BREEZ",2013,"401",49
"44007","1","OGRUM",2013,"403",59
"44008","1","SURGE",2013,"401",66
"44009","1","DRAGON BOLT",2013,"403",151
"44010","1","STORMER",2013,"401",69
"4401","1","LITTLE CREATIONS",2003,"204",110
"44011","1","FROST BEAST",2013,"403",60
"44012","1","EVO",2013,"401",51
"44013","1","AQUAGON",2013,"403",43
"44014","1","JET ROCKA",2013,"401",289
"44015","1","EVO WALKER",2014,"400",50
"44016","1","JAW BEAST VS. STORMER",2014,"400",49
"44017","1","STORMER FREEZE MACHINE",2014,"400",87
"44018","1","FURNO JET MACHINE",2014,"400",78
"44019","1","ROCKA STEALTH MACHINE",2014,"400",88
"44020","1","FLYER BEAST VS. BREEZ",2014,"400",91
"4402","1","SEA RIDERS",2003,"204",549
"44021","1","SPLITTER BEAST VS. FURNO & EVO",2014,"400",108
"44022","1","EVO XL MACHINE",2014,"400",192
"44023","1","ROCKA CRAWLER",2014,"401",49
"44024","1","TUNNELER BEAST VS. SURGE",2014,"400",59
"44025","1","BULK DRILL MACHINE",2014,"401",111
"44026","1","CRYSTAL BEAST VS. BULK",2014,"400",83
"44027","1","BREEZ FLEA MACHINE",2014,"401",101
"44028","1","SURGE & ROCKA COMBAT MACHINE",2014,"401",187
"44029","1","QUEEN BEAST VS. FURNO, EVO & STORMER",2014,"400",216
"4403","1","AIR BLAZERS",2003,"204",705
"4404","1","LAND BUSTERS",2003,"204",769
"4405","1","LARGE CREATOR BUCKET",2003,"37",1305
"4406","1","BUILDINGS",2004,"22",506
"4407","1","TRANSPORTATION",2004,"22",302
"4408","1","ANIMALS",2004,"22",202
"4410","1","BUILD AND CREATE",2004,"37",500
"4411","1","BLUE STRATA XXL",2004,"37",1200
"4412","1","EINFALLSREICHES BAUEN [IMAGINATIVE BUILDING]",2004,"37",200
"4413","1","ARACHNO POD",2005,"478",57
"4414","1","LEGO CREATOR BUCKET",2004,"37",500
"4415","1","AUTO POD",2006,"479",56
"4416","1","ROBO POD",2006,"479",64
"4417","1","AERO POD",2006,"479",60
"4418","1","DINO POD",2006,"479",55
"442","1","SPACE SHUTTLE",1979,"130",39
"4421","1","BOX OF BRICKS",2005,"48",1000
"4423","1","LEGO CREATOR HANDY BOX",2005,"48",800
"4425","1","BETTER BUILDING MORE FUN",2004,"37",2000
"4427","1","FIRE ATV",2012,"58",50
"4428","1","ADVENT CALENDAR 2012, CITY",2012,"208",24
"4428","10","ADVENT CALENDAR 2012, CITY (DAY  9) MECHANIC WITH WRENCH",2012,"217",5
"4428","11","ADVENT CALENDAR 2012, CITY (DAY 10) WHEEL DOLLY WITH WHEELS",2012,"217",10
"4428","12","ADVENT CALENDAR 2012, CITY (DAY 11) FIREFIGHTER'S ATV WITHOUT WHEELS",2012,"217",13
"4428","13","ADVENT CALENDAR 2012, CITY (DAY 12) FEMALE FIREFIGHTER",2012,"217",5
"4428","14","ADVENT CALENDAR 2012, CITY (DAY 13) DESK WITH COMPUTER AND CHAIR",2012,"217",8
"4428","15","ADVENT CALENDAR 2012, CITY (DAY 14) BOX WITH BURNING LOGS",2012,"217",5
